EmployeeNumber,Age,DailyRate,DistanceFromHome,EmployeeCount,HourlyRate,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,StandardHours,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,RelationshipSatisfaction,StockOptionLevel,WorkLifeBalance,BusinessTravel,Department,EducationField,Gender,JobRole,MaritalStatus,Over18,OverTime,Attrition
487,46.0,1144.0,7.0,1.0,30.0,5258.0,16044.0,2.0,14.0,3.0,80.0,7.0,2.0,1.0,0.0,0.0,0.0,4,3,3,2,3,3,0,4,Non-Travel,Research & Development,Medical,Female,Manufacturing Director,Married,Y,No,0
488,41.0,143.0,4.0,1.0,56.0,9355.0,9558.0,1.0,18.0,3.0,80.0,8.0,5.0,8.0,7.0,7.0,7.0,3,1,3,2,2,3,0,3,Travel_Frequently,Sales,Marketing,Male,Sales Executive,Single,Y,No,1
491,50.0,1046.0,10.0,1.0,100.0,10496.0,2755.0,6.0,15.0,3.0,80.0,20.0,2.0,4.0,3.0,1.0,3.0,3,4,2,3,4,4,0,3,Travel_Rarely,Research & Development,Technical Degree,Male,Healthcare Representative,Single,Y,No,0
492,40.0,575.0,22.0,1.0,68.0,6380.0,6110.0,2.0,12.0,3.0,80.0,8.0,6.0,6.0,4.0,1.0,0.0,2,3,2,2,3,1,2,3,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,Y,Yes,1
493,31.0,408.0,9.0,1.0,42.0,2657.0,7551.0,0.0,16.0,3.0,80.0,3.0,5.0,2.0,2.0,2.0,2.0,4,3,2,1,2,4,0,3,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,Y,Yes,0
494,21.0,156.0,12.0,1.0,90.0,2716.0,25422.0,1.0,15.0,3.0,80.0,1.0,0.0,1.0,0.0,0.0,0.0,3,3,4,1,2,4,0,3,Travel_Rarely,Sales,Life Sciences,Female,Sales Representative,Single,Y,No,1
495,29.0,1283.0,23.0,1.0,54.0,2201.0,18168.0,9.0,16.0,3.0,80.0,6.0,4.0,3.0,2.0,1.0,2.0,3,4,3,1,4,4,0,3,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,Y,No,0
496,35.0,755.0,9.0,1.0,97.0,6540.0,19394.0,9.0,19.0,3.0,80.0,10.0,5.0,1.0,1.0,0.0,0.0,4,3,2,2,2,3,0,3,Travel_Rarely,Research & Development,Life Sciences,Male,Healthcare Representative,Single,Y,No,0
497,27.0,1469.0,1.0,1.0,82.0,3816.0,17881.0,1.0,11.0,3.0,80.0,5.0,2.0,5.0,2.0,0.0,4.0,2,4,3,1,2,2,1,3,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Divorced,Y,No,0
498,28.0,304.0,9.0,1.0,92.0,5253.0,20750.0,1.0,16.0,3.0,80.0,7.0,1.0,7.0,5.0,0.0,7.0,4,2,3,2,4,4,0,3,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Single,Y,No,0
499,49.0,1261.0,7.0,1.0,31.0,10965.0,12066.0,8.0,24.0,4.0,80.0,26.0,2.0,5.0,2.0,0.0,0.0,3,2,2,3,3,3,0,3,Travel_Rarely,Research & Development,Other,Male,Healthcare Representative,Single,Y,No,0
500,51.0,1178.0,14.0,1.0,87.0,4936.0,14862.0,4.0,11.0,3.0,80.0,18.0,2.0,7.0,7.0,0.0,7.0,2,3,3,2,4,3,1,2,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Married,Y,No,0
501,36.0,329.0,2.0,1.0,96.0,2543.0,11868.0,4.0,13.0,3.0,80.0,6.0,3.0,2.0,2.0,2.0,2.0,3,4,3,1,3,2,1,3,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Married,Y,No,0
502,34.0,1362.0,19.0,1.0,67.0,5304.0,4652.0,8.0,13.0,3.0,80.0,9.0,3.0,5.0,2.0,0.0,4.0,3,1,4,2,4,2,0,2,Non-Travel,Sales,Marketing,Male,Sales Executive,Single,Y,Yes,1
505,55.0,1311.0,2.0,1.0,97.0,16659.0,23258.0,2.0,13.0,3.0,80.0,30.0,2.0,5.0,4.0,1.0,2.0,3,3,3,4,4,3,0,3,Travel_Rarely,Research & Development,Life Sciences,Female,Manager,Single,Y,Yes,0
507,24.0,1371.0,10.0,1.0,77.0,4260.0,5915.0,1.0,12.0,3.0,80.0,5.0,2.0,5.0,2.0,0.0,3.0,4,4,3,2,3,4,1,4,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Divorced,Y,Yes,0
508,30.0,202.0,2.0,1.0,72.0,2476.0,17434.0,1.0,18.0,3.0,80.0,1.0,3.0,1.0,0.0,0.0,0.0,1,3,3,1,2,1,1,3,Travel_Rarely,Sales,Technical Degree,Male,Sales Representative,Married,Y,No,0
510,26.0,575.0,3.0,1.0,73.0,3102.0,6582.0,0.0,22.0,4.0,80.0,7.0,2.0,6.0,4.0,0.0,4.0,1,3,3,1,1,3,0,3,Travel_Frequently,Research & Development,Technical Degree,Male,Research Scientist,Single,Y,No,1
511,22.0,253.0,11.0,1.0,43.0,2244.0,24440.0,1.0,13.0,3.0,80.0,2.0,1.0,2.0,1.0,1.0,2.0,3,1,3,1,2,4,1,3,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Married,Y,No,0
513,36.0,164.0,2.0,1.0,61.0,7596.0,3809.0,1.0,13.0,3.0,80.0,10.0,2.0,10.0,9.0,9.0,0.0,2,2,2,3,3,2,2,3,Travel_Rarely,Sales,Medical,Male,Sales Executive,Married,Y,No,0
514,30.0,464.0,4.0,1.0,40.0,2285.0,3427.0,9.0,23.0,4.0,80.0,3.0,4.0,1.0,0.0,0.0,0.0,3,3,3,1,4,3,0,3,Travel_Frequently,Research & Development,Technical Degree,Male,Research Scientist,Single,Y,Yes,1
515,37.0,1107.0,14.0,1.0,95.0,3034.0,26914.0,1.0,12.0,3.0,80.0,18.0,2.0,18.0,7.0,12.0,17.0,3,4,3,1,1,3,1,2,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Divorced,Y,No,0
516,40.0,759.0,2.0,1.0,46.0,5715.0,22553.0,7.0,12.0,3.0,80.0,8.0,5.0,5.0,4.0,1.0,3.0,2,4,3,2,2,3,2,3,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Divorced,Y,No,0
517,42.0,201.0,1.0,1.0,95.0,2576.0,20490.0,3.0,16.0,3.0,80.0,8.0,5.0,5.0,2.0,1.0,2.0,4,2,3,1,1,2,1,3,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Divorced,Y,No,0
518,37.0,1305.0,10.0,1.0,49.0,4197.0,21123.0,2.0,12.0,3.0,80.0,18.0,2.0,1.0,0.0,0.0,1.0,4,3,3,2,2,4,0,2,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Single,Y,Yes,0
520,43.0,982.0,12.0,1.0,59.0,14336.0,4345.0,1.0,11.0,3.0,80.0,25.0,3.0,25.0,10.0,3.0,9.0,3,1,2,4,2,3,1,3,Travel_Rarely,Research & Development,Life Sciences,Male,Research Director,Divorced,Y,No,0
521,40.0,555.0,2.0,1.0,78.0,3448.0,13436.0,6.0,22.0,4.0,80.0,20.0,3.0,1.0,0.0,0.0,0.0,3,2,2,2,3,2,1,3,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Married,Y,No,0
522,54.0,821.0,5.0,1.0,86.0,19406.0,8509.0,4.0,11.0,3.0,80.0,24.0,4.0,4.0,2.0,1.0,2.0,2,1,3,5,1,3,1,2,Travel_Rarely,Research & Development,Medical,Male,Research Director,Married,Y,No,0
523,34.0,1381.0,4.0,1.0,72.0,6538.0,12740.0,9.0,15.0,3.0,80.0,6.0,3.0,3.0,2.0,1.0,2.0,4,3,3,2,3,1,1,3,Non-Travel,Sales,Marketing,Female,Sales Executive,Married,Y,No,0
524,31.0,480.0,7.0,1.0,31.0,4306.0,4156.0,1.0,12.0,3.0,80.0,13.0,5.0,13.0,10.0,3.0,12.0,2,2,3,2,1,2,1,1,Travel_Rarely,Research & Development,Medical,Female,Manufacturing Director,Married,Y,No,0
525,43.0,313.0,21.0,1.0,61.0,2258.0,15238.0,7.0,20.0,4.0,80.0,8.0,1.0,3.0,2.0,1.0,2.0,3,4,3,1,4,1,1,3,Travel_Frequently,Research & Development,Medical,Male,Laboratory Technician,Married,Y,No,0
526,43.0,1473.0,8.0,1.0,74.0,4522.0,2227.0,4.0,14.0,3.0,80.0,8.0,3.0,5.0,2.0,0.0,2.0,4,3,3,2,3,4,0,3,Travel_Rarely,Research & Development,Other,Female,Healthcare Representative,Divorced,Y,Yes,0
527,25.0,891.0,4.0,1.0,99.0,4487.0,12090.0,1.0,11.0,3.0,80.0,5.0,3.0,5.0,4.0,1.0,3.0,2,2,2,2,4,2,0,3,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Single,Y,Yes,0
529,37.0,1063.0,25.0,1.0,72.0,4449.0,23866.0,3.0,15.0,3.0,80.0,15.0,2.0,13.0,11.0,10.0,7.0,5,2,3,2,3,1,2,3,Non-Travel,Research & Development,Medical,Female,Research Scientist,Married,Y,Yes,0
530,31.0,329.0,1.0,1.0,98.0,2218.0,16193.0,1.0,12.0,3.0,80.0,4.0,3.0,4.0,2.0,3.0,2.0,2,4,2,1,1,3,1,3,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married,Y,No,0
531,39.0,1218.0,1.0,1.0,52.0,19197.0,8213.0,1.0,14.0,3.0,80.0,21.0,3.0,21.0,8.0,1.0,6.0,1,2,3,5,3,3,1,3,Travel_Frequently,Research & Development,Life Sciences,Male,Manager,Divorced,Y,Yes,0
532,56.0,906.0,6.0,1.0,86.0,13212.0,18256.0,9.0,11.0,3.0,80.0,36.0,0.0,7.0,7.0,7.0,7.0,3,3,4,4,1,4,3,2,Travel_Frequently,Sales,Life Sciences,Female,Sales Executive,Married,Y,No,0
533,30.0,1082.0,12.0,1.0,83.0,6577.0,19558.0,0.0,11.0,3.0,80.0,6.0,6.0,5.0,4.0,4.0,4.0,3,2,3,2,3,2,0,3,Travel_Rarely,Sales,Technical Degree,Female,Sales Executive,Single,Y,No,0
534,41.0,645.0,1.0,1.0,49.0,8392.0,19566.0,1.0,16.0,3.0,80.0,10.0,2.0,10.0,7.0,0.0,7.0,3,2,4,3,1,3,1,3,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,Y,No,0
536,28.0,1300.0,17.0,1.0,79.0,4558.0,13535.0,1.0,12.0,3.0,80.0,10.0,2.0,10.0,0.0,1.0,8.0,2,3,3,2,1,4,1,3,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Divorced,Y,No,0
538,25.0,688.0,3.0,1.0,91.0,4031.0,9396.0,5.0,13.0,3.0,80.0,6.0,5.0,2.0,2.0,0.0,2.0,3,1,3,1,1,3,1,3,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married,Y,No,1
543,52.0,319.0,3.0,1.0,39.0,7969.0,19609.0,2.0,14.0,3.0,80.0,28.0,4.0,5.0,4.0,0.0,4.0,3,4,2,3,3,3,0,3,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Married,Y,Yes,0
544,45.0,192.0,10.0,1.0,69.0,2654.0,9655.0,3.0,21.0,4.0,80.0,8.0,3.0,2.0,2.0,0.0,2.0,2,1,3,1,4,4,2,2,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,Y,No,0
546,52.0,1490.0,4.0,1.0,30.0,16555.0,10310.0,2.0,13.0,3.0,80.0,31.0,2.0,5.0,2.0,1.0,4.0,2,4,3,4,4,4,0,1,Travel_Rarely,Research & Development,Life Sciences,Female,Manager,Married,Y,No,0
547,42.0,532.0,29.0,1.0,92.0,4556.0,12932.0,2.0,11.0,3.0,80.0,19.0,3.0,5.0,4.0,0.0,2.0,2,1,3,2,3,2,1,3,Travel_Frequently,Research & Development,Life Sciences,Female,Research Scientist,Divorced,Y,No,0
548,30.0,317.0,2.0,1.0,43.0,6091.0,24793.0,2.0,20.0,4.0,80.0,11.0,2.0,5.0,4.0,0.0,2.0,3,3,1,2,4,3,0,3,Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Single,Y,No,0
549,60.0,422.0,7.0,1.0,41.0,19566.0,3854.0,5.0,11.0,3.0,80.0,33.0,5.0,29.0,8.0,11.0,10.0,3,1,3,5,1,4,0,1,Travel_Rarely,Research & Development,Life Sciences,Female,Manager,Married,Y,No,0
550,46.0,1485.0,18.0,1.0,87.0,4810.0,26314.0,2.0,14.0,3.0,80.0,19.0,5.0,10.0,7.0,0.0,8.0,3,3,3,2,3,3,1,2,Travel_Rarely,Research & Development,Medical,Female,Manufacturing Director,Divorced,Y,No,0
551,42.0,1368.0,28.0,1.0,88.0,4523.0,4386.0,0.0,11.0,3.0,80.0,7.0,4.0,6.0,5.0,0.0,4.0,4,4,2,2,4,4,3,4,Travel_Frequently,Research & Development,Technical Degree,Female,Healthcare Representative,Married,Y,No,0
554,24.0,1448.0,1.0,1.0,62.0,3202.0,21972.0,1.0,16.0,3.0,80.0,6.0,4.0,5.0,3.0,1.0,4.0,1,1,3,1,2,2,0,3,Travel_Rarely,Sales,Technical Degree,Female,Sales Representative,Single,Y,Yes,1
555,34.0,296.0,6.0,1.0,33.0,2351.0,12253.0,0.0,16.0,3.0,80.0,3.0,3.0,2.0,2.0,1.0,0.0,2,4,1,1,3,4,1,2,Travel_Frequently,Sales,Marketing,Female,Sales Representative,Divorced,Y,No,1
556,38.0,1490.0,2.0,1.0,42.0,1702.0,12106.0,1.0,23.0,4.0,80.0,1.0,3.0,1.0,0.0,0.0,0.0,2,4,3,1,4,3,1,3,Travel_Frequently,Research & Development,Life Sciences,Male,Laboratory Technician,Married,Y,Yes,0
558,40.0,1398.0,2.0,1.0,79.0,18041.0,13022.0,0.0,14.0,3.0,80.0,21.0,2.0,20.0,15.0,1.0,12.0,4,3,3,5,3,4,0,3,Travel_Rarely,Sales,Life Sciences,Female,Manager,Married,Y,No,0
560,26.0,1349.0,23.0,1.0,90.0,2886.0,3032.0,1.0,22.0,4.0,80.0,3.0,3.0,3.0,2.0,0.0,2.0,3,1,3,1,4,2,2,1,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Divorced,Y,No,0
562,30.0,1400.0,3.0,1.0,53.0,2097.0,16734.0,4.0,15.0,3.0,80.0,9.0,3.0,5.0,3.0,1.0,4.0,3,3,3,1,4,3,1,1,Non-Travel,Research & Development,Life Sciences,Male,Laboratory Technician,Married,Y,No,0
564,29.0,986.0,3.0,1.0,93.0,11935.0,21526.0,1.0,18.0,3.0,80.0,10.0,2.0,10.0,2.0,0.0,7.0,4,2,2,3,3,3,0,3,Travel_Rarely,Research & Development,Medical,Male,Research Director,Married,Y,No,0
565,29.0,408.0,25.0,1.0,71.0,2546.0,18300.0,5.0,16.0,3.0,80.0,6.0,2.0,2.0,2.0,1.0,1.0,5,3,2,1,2,2,0,4,Travel_Rarely,Research & Development,Technical Degree,Female,Research Scientist,Married,Y,No,1
566,19.0,489.0,2.0,1.0,52.0,2564.0,18437.0,1.0,12.0,3.0,80.0,1.0,3.0,1.0,0.0,0.0,0.0,2,1,2,1,4,3,0,4,Travel_Rarely,Human Resources,Technical Degree,Male,Human Resources,Single,Y,No,1
567,30.0,1398.0,22.0,1.0,69.0,8412.0,2890.0,0.0,11.0,3.0,80.0,10.0,3.0,9.0,8.0,7.0,8.0,4,3,3,3,1,3,0,3,Non-Travel,Sales,Other,Female,Sales Executive,Married,Y,No,0
568,57.0,210.0,29.0,1.0,56.0,14118.0,22102.0,3.0,12.0,3.0,80.0,32.0,3.0,1.0,0.0,0.0,0.0,3,1,2,4,4,3,1,2,Travel_Rarely,Sales,Marketing,Male,Manager,Divorced,Y,No,0
569,50.0,1099.0,29.0,1.0,88.0,17046.0,9314.0,0.0,15.0,3.0,80.0,28.0,2.0,27.0,10.0,15.0,7.0,4,2,2,4,3,2,1,3,Travel_Rarely,Research & Development,Life Sciences,Male,Manager,Married,Y,No,0
571,30.0,1116.0,2.0,1.0,49.0,2564.0,7181.0,0.0,14.0,3.0,80.0,12.0,2.0,11.0,7.0,6.0,7.0,3,3,3,1,4,3,0,2,Non-Travel,Research & Development,Medical,Female,Laboratory Technician,Single,Y,No,0
573,60.0,1499.0,28.0,1.0,80.0,10266.0,2845.0,4.0,19.0,3.0,80.0,22.0,5.0,18.0,13.0,13.0,11.0,3,3,2,3,1,4,0,4,Travel_Frequently,Sales,Marketing,Female,Sales Executive,Married,Y,No,0
574,47.0,983.0,2.0,1.0,65.0,5070.0,7389.0,5.0,13.0,3.0,80.0,20.0,2.0,5.0,0.0,0.0,4.0,2,1,3,2,4,3,3,3,Travel_Rarely,Research & Development,Medical,Female,Manufacturing Director,Divorced,Y,No,0
575,46.0,1009.0,2.0,1.0,51.0,17861.0,2288.0,6.0,13.0,3.0,80.0,26.0,2.0,3.0,2.0,0.0,1.0,3,1,3,4,3,3,0,1,Travel_Rarely,Research & Development,Life Sciences,Male,Research Director,Married,Y,No,0
577,35.0,144.0,22.0,1.0,46.0,4230.0,19225.0,0.0,15.0,3.0,80.0,6.0,2.0,5.0,4.0,4.0,3.0,3,4,1,1,3,3,0,3,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,Y,No,0
578,54.0,548.0,8.0,1.0,42.0,3780.0,23428.0,7.0,11.0,3.0,80.0,19.0,3.0,1.0,0.0,0.0,0.0,4,3,3,2,3,3,0,3,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Single,Y,No,0
579,34.0,1303.0,2.0,1.0,62.0,2768.0,8416.0,3.0,12.0,3.0,80.0,14.0,3.0,7.0,3.0,5.0,7.0,4,4,2,1,3,3,1,3,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,Y,No,0
580,46.0,1125.0,10.0,1.0,94.0,9071.0,11563.0,2.0,19.0,3.0,80.0,15.0,3.0,3.0,2.0,1.0,2.0,3,3,2,3,4,3,1,3,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married,Y,Yes,0
581,31.0,1274.0,9.0,1.0,33.0,10648.0,14394.0,1.0,25.0,4.0,80.0,13.0,6.0,13.0,8.0,0.0,8.0,1,3,3,3,2,4,1,4,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Divorced,Y,No,0
582,33.0,1277.0,15.0,1.0,56.0,13610.0,24619.0,7.0,12.0,3.0,80.0,15.0,2.0,7.0,6.0,7.0,7.0,1,2,3,3,3,4,0,4,Travel_Rarely,Research & Development,Medical,Male,Manager,Married,Y,Yes,1
584,33.0,587.0,10.0,1.0,38.0,3408.0,6705.0,7.0,13.0,3.0,80.0,8.0,2.0,4.0,3.0,1.0,3.0,1,1,1,1,4,1,3,3,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Divorced,Y,No,1
585,30.0,413.0,7.0,1.0,57.0,2983.0,18398.0,0.0,14.0,3.0,80.0,4.0,3.0,3.0,2.0,1.0,2.0,1,4,3,1,2,1,0,3,Travel_Rarely,Sales,Marketing,Male,Sales Representative,Single,Y,No,0
586,35.0,1276.0,16.0,1.0,72.0,7632.0,14295.0,4.0,12.0,3.0,80.0,10.0,2.0,8.0,7.0,0.0,0.0,3,4,3,3,3,3,0,3,Travel_Rarely,Research & Development,Life Sciences,Male,Healthcare Representative,Married,Y,Yes,0
587,31.0,534.0,20.0,1.0,66.0,9824.0,22908.0,3.0,12.0,3.0,80.0,12.0,2.0,1.0,0.0,0.0,0.0,3,1,3,3,3,1,0,3,Travel_Frequently,Research & Development,Life Sciences,Male,Healthcare Representative,Married,Y,No,1
590,34.0,988.0,23.0,1.0,43.0,9950.0,11533.0,9.0,15.0,3.0,80.0,11.0,2.0,3.0,2.0,0.0,2.0,3,2,3,3,1,3,3,3,Travel_Frequently,Human Resources,Human Resources,Female,Human Resources,Divorced,Y,Yes,1
591,42.0,1474.0,5.0,1.0,97.0,2093.0,9260.0,4.0,17.0,3.0,80.0,8.0,4.0,2.0,2.0,2.0,0.0,2,2,3,1,3,4,1,3,Travel_Frequently,Research & Development,Other,Male,Laboratory Technician,Married,Y,No,0
592,36.0,635.0,10.0,1.0,32.0,9980.0,15318.0,1.0,14.0,3.0,80.0,10.0,3.0,10.0,3.0,9.0,7.0,4,2,3,3,4,4,0,2,Non-Travel,Sales,Medical,Male,Sales Executive,Single,Y,No,0
593,22.0,1368.0,4.0,1.0,99.0,3894.0,9129.0,5.0,16.0,3.0,80.0,4.0,3.0,2.0,2.0,1.0,2.0,1,3,2,1,3,3,0,3,Travel_Frequently,Research & Development,Technical Degree,Male,Laboratory Technician,Single,Y,No,1
595,48.0,163.0,2.0,1.0,37.0,4051.0,19658.0,2.0,14.0,3.0,80.0,14.0,2.0,9.0,7.0,6.0,7.0,5,2,3,2,4,1,1,3,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married,Y,No,0
597,55.0,1117.0,18.0,1.0,83.0,16835.0,9873.0,3.0,23.0,4.0,80.0,37.0,2.0,10.0,9.0,7.0,7.0,5,1,3,4,2,4,0,3,Travel_Rarely,Sales,Life Sciences,Female,Manager,Single,Y,No,0
599,41.0,267.0,10.0,1.0,56.0,6230.0,13430.0,7.0,14.0,3.0,80.0,16.0,3.0,14.0,3.0,1.0,10.0,2,4,3,2,4,4,0,3,Non-Travel,Sales,Life Sciences,Male,Sales Executive,Single,Y,No,0
600,35.0,619.0,1.0,1.0,85.0,4717.0,18659.0,9.0,11.0,3.0,80.0,15.0,2.0,11.0,9.0,6.0,9.0,3,2,3,2,3,3,0,3,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,Y,No,0
601,40.0,302.0,6.0,1.0,75.0,13237.0,20364.0,7.0,15.0,3.0,80.0,22.0,3.0,20.0,6.0,5.0,13.0,3,2,3,4,3,3,0,3,Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Single,Y,No,0
602,39.0,443.0,8.0,1.0,48.0,3755.0,17872.0,1.0,11.0,3.0,80.0,8.0,3.0,8.0,3.0,0.0,7.0,1,3,3,1,3,1,1,3,Travel_Frequently,Research & Development,Life Sciences,Female,Laboratory Technician,Married,Y,No,0
604,31.0,828.0,2.0,1.0,77.0,6582.0,8346.0,4.0,13.0,3.0,80.0,10.0,2.0,6.0,5.0,0.0,5.0,1,2,3,2,4,3,0,4,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Single,Y,Yes,0
605,42.0,319.0,24.0,1.0,56.0,7406.0,6950.0,1.0,21.0,4.0,80.0,10.0,5.0,10.0,9.0,5.0,8.0,3,4,3,3,1,4,1,2,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Married,Y,Yes,0
606,45.0,561.0,2.0,1.0,61.0,4805.0,16177.0,0.0,19.0,3.0,80.0,9.0,3.0,8.0,7.0,3.0,7.0,3,4,3,2,2,2,1,4,Travel_Rarely,Sales,Other,Male,Sales Executive,Married,Y,No,0
608,26.0,426.0,17.0,1.0,58.0,2741.0,22808.0,0.0,11.0,3.0,80.0,8.0,2.0,7.0,7.0,1.0,0.0,4,2,3,1,3,2,1,2,Travel_Frequently,Human Resources,Life Sciences,Female,Human Resources,Divorced,Y,Yes,1
611,29.0,232.0,19.0,1.0,34.0,4262.0,22645.0,4.0,12.0,3.0,80.0,8.0,2.0,3.0,2.0,1.0,2.0,3,4,3,2,4,2,2,4,Travel_Rarely,Research & Development,Technical Degree,Male,Manufacturing Director,Divorced,Y,No,0
612,33.0,922.0,1.0,1.0,95.0,16184.0,22578.0,4.0,19.0,3.0,80.0,10.0,2.0,6.0,1.0,0.0,5.0,5,1,4,4,3,3,1,3,Travel_Rarely,Research & Development,Medical,Female,Research Director,Divorced,Y,No,0
613,31.0,688.0,7.0,1.0,44.0,11557.0,25291.0,9.0,21.0,4.0,80.0,10.0,3.0,5.0,4.0,0.0,1.0,3,3,2,3,4,3,1,2,Travel_Rarely,Sales,Life Sciences,Male,Manager,Divorced,Y,No,0
614,18.0,1306.0,5.0,1.0,69.0,1878.0,8059.0,1.0,14.0,3.0,80.0,0.0,3.0,0.0,0.0,0.0,0.0,3,2,3,1,2,4,0,3,Travel_Frequently,Sales,Marketing,Male,Sales Representative,Single,Y,Yes,1
615,40.0,1094.0,28.0,1.0,58.0,10932.0,11373.0,3.0,15.0,3.0,80.0,20.0,2.0,1.0,0.0,0.0,1.0,3,3,1,3,1,3,1,3,Non-Travel,Sales,Other,Male,Sales Executive,Divorced,Y,No,0
616,41.0,509.0,2.0,1.0,62.0,6811.0,2112.0,2.0,17.0,3.0,80.0,10.0,3.0,8.0,7.0,0.0,7.0,4,1,2,2,3,1,0,3,Non-Travel,Research & Development,Other,Female,Healthcare Representative,Single,Y,Yes,0
618,26.0,775.0,29.0,1.0,45.0,4306.0,4267.0,5.0,12.0,3.0,80.0,8.0,5.0,0.0,0.0,0.0,0.0,2,1,3,2,3,1,2,3,Travel_Rarely,Sales,Medical,Male,Sales Executive,Divorced,Y,No,0
620,35.0,195.0,1.0,1.0,80.0,4859.0,6698.0,1.0,16.0,3.0,80.0,5.0,3.0,5.0,4.0,0.0,3.0,3,1,3,2,3,4,0,3,Travel_Rarely,Sales,Medical,Female,Sales Executive,Single,Y,No,0
621,34.0,258.0,21.0,1.0,74.0,5337.0,19921.0,1.0,12.0,3.0,80.0,10.0,3.0,10.0,7.0,5.0,7.0,4,4,4,2,4,4,0,3,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Single,Y,No,0
622,26.0,471.0,24.0,1.0,66.0,2340.0,23213.0,1.0,18.0,3.0,80.0,1.0,3.0,1.0,0.0,0.0,0.0,3,3,1,1,4,2,0,1,Travel_Rarely,Research & Development,Technical Degree,Male,Laboratory Technician,Single,Y,Yes,1
623,37.0,799.0,1.0,1.0,59.0,7491.0,23848.0,4.0,17.0,3.0,80.0,12.0,3.0,6.0,5.0,1.0,2.0,3,2,3,3,4,4,0,4,Travel_Rarely,Research & Development,Technical Degree,Female,Manufacturing Director,Single,Y,No,0
624,46.0,1034.0,18.0,1.0,86.0,10527.0,8984.0,5.0,11.0,3.0,80.0,28.0,3.0,2.0,2.0,1.0,2.0,1,1,3,3,3,4,0,2,Travel_Frequently,Research & Development,Medical,Female,Healthcare Representative,Married,Y,No,0
625,41.0,1276.0,2.0,1.0,91.0,16595.0,5626.0,7.0,16.0,3.0,80.0,22.0,2.0,18.0,16.0,11.0,8.0,5,2,3,4,1,2,1,3,Travel_Rarely,Sales,Life Sciences,Female,Manager,Married,Y,No,0
626,37.0,142.0,9.0,1.0,69.0,8834.0,24666.0,1.0,13.0,3.0,80.0,9.0,6.0,9.0,5.0,7.0,7.0,4,1,3,3,2,4,1,3,Non-Travel,Sales,Medical,Male,Sales Executive,Divorced,Y,No,0
630,52.0,956.0,6.0,1.0,78.0,5577.0,22087.0,3.0,12.0,3.0,80.0,18.0,3.0,10.0,9.0,6.0,9.0,2,4,3,2,1,2,2,3,Travel_Rarely,Research & Development,Technical Degree,Male,Research Scientist,Divorced,Y,Yes,0
631,32.0,1474.0,11.0,1.0,60.0,4707.0,23914.0,8.0,12.0,3.0,80.0,6.0,2.0,4.0,2.0,1.0,2.0,4,4,4,2,3,4,0,3,Non-Travel,Sales,Other,Male,Sales Executive,Married,Y,No,1
632,24.0,535.0,24.0,1.0,38.0,2400.0,5530.0,0.0,13.0,3.0,80.0,3.0,3.0,2.0,2.0,2.0,1.0,3,4,3,1,4,3,2,3,Travel_Frequently,Sales,Medical,Male,Sales Representative,Married,Y,No,0
